Url,Filename
https://www.daraz.com.np/products/apple-macbook-air-13-inch-m1-256gb-oliz-store-i106600811-s1028165605.html?search=1,5bffcd46c3.csv
https://www.daraz.com.np/products/apple-macbook-air-apple-m1-chip-133-inch3374-cm-retina-display-8gb-ram-256gb-ssd-storage-isure-i118909601-s1032563718.html?search=1,8e9c3aaedb.csv
https://www.daraz.com.np/products/lenovo-ideapad-1-intel-celeron-n4020-4gb-ddr4-ram-128gb-emmc-storage-intel-uhd-graphics-14-display-windows-11-cloud-grey-i129798536-s1037645226.html?search=1,24305711ad.csv
https://www.daraz.com.np/products/acer-aspire-5-core-i5-13th-gen8gb-ram512gb-ssd156-fhdwin-11-i128494367-s1036005360.html?search=1,c796a503a8.csv
https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-13420h-8gb-ram-512gb-nvme-ssd-nvidia-geforce-rtx-3050-6gb-gpu-156-fhd-144hz-display-windows-11-home-backlit-keyboard-i128017013-s1035959655.html?search=1,68848b576a.csv
https://www.daraz.com.np/products/acer-nitro-5-ryzen-7-5800h-16gb-ram-512gb-ssd-gtx-1650-144hz-rgb-i128490145-s1035974947.html?search=1,217f013439.csv
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877-s1037407894.html?search=1,822dfcd434.csv
https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-13420h-16gb-ddr4-ram-512gb-nvme-ssd-nvidia-geforce-rtx-3050-6gb-gpu-156-fhd-144hz-display-windows-11-home-backlit-keyboard-i128473367-s1035957702.html?search=1,afc24e7af0.csv
https://www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554-s1032329631.html?search=1,ec264ee005.csv
https://www.daraz.com.np/products/laptop-acer-aspire-3-amd-ryzen-7-5700u-16gb-ddr4-ram-512gb-nvme-ssd-amd-radeon-integrated-graphics-156-fhd-display-silver-i129062696-s1037059909.html?search=1,dc47d36bac.csv
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram512gb-ssd156-display-i118372728-s1032434216.html?search=1,bbe8bee61c.csv
https://www.daraz.com.np/products/acer-nitro-5-i7-10th-gen-16gb-ram-512gb-ssd-gtx-1650ti-144hz-rgb-i129684488-s1037565096.html?search=1,d9475bb256.csv
https://www.daraz.com.np/products/hp-victus-15-fb1013dx-amd-ryzen-5-7535hs-processor-8gb-ram-512gb-storage-nvidia-rtx-2050-graphics-156-inch-fhd-144hz-display-i129862643-s1037713180.html?search=1,36c2e1270f.csv
https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-16gb-512gb-rtx-3050-156-144hz-win-11-i128127277-s1035225039.html?search=1,587405910d.csv
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-display-laptop-i129017788-s1037011250.html?search=1,d89205c7ae.csv
