id,price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,rating,reviews,name,url,image,instock
b50ecce78a,65000,acer,Nitro V,5.0,8,15.6,512,8,4050.0,5.0,1,"Acer Nitro V 15 2023 | 13th Gen Intel Core i5-13420H Processor | 8GB DDR5 RAM 4800MHz | 512GB PCIe NVMe SSD | NVIDIA RTX 4050 6GB Graphics | 15.6"" FHD 144Hz Display | Gaming Laptop | Acer Nitro | Laptop | Black | 1 Year Warranty",https://www.daraz.com.np/products/acer-nitro-v-15-2023-13th-gen-intel-core-i5-13420h-processor-8gb-ddr5-ram-4800mhz-512gb-pcie-nvme-ssd-nvidia-rtx-4050-6gb-graphics-156-fhd-144hz-display-gaming-laptop-acer-nitro-laptop-black-1-year-warranty-i130030136-s1037906231.html?search=1,,
e53a16f2bc,139999,acer,Nitro V,7.0,16,15.6,512,8,4050.0,4.0,1,"Acer Nitro V i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz",https://www.daraz.com.np/products/acer-nitro-v-i7-13th-gen-13620h-16gb-ddr5-512gb-ssd-rtx-4050-6gb-156-fhd-144hz-i131403009-s1038235947.html?search=1,https://static-01.daraz.com.np/p/693798f4168368609987b00b2ac2e980.jpg_750x750.jpg_.webp,
36c2e1270f,89999,hp,Victus 15,5.0,16,15.6,512,6,2050.0,5.0,1,HP Victus 15-FB1013DX (AMD Ryzen 5-7535HS Processor| 8GB RAM | 512GB Storage | NVIDIA RTX 2050 Graphics | 15.6-inch FHD 144Hz Display,https://www.daraz.com.np/products/hp-victus-15-fb1013dx-amd-ryzen-5-7535hs-processor-8gb-ram-512gb-storage-nvidia-rtx-2050-graphics-156-inch-fhd-144hz-display-i129862643-s1037713180.html?search=1,https://static-01.daraz.com.np/p/1a0608e382f60c4f1f3a02d902b36260.png_750x750.jpg_.webp,
c5479808a3,35899,hp,Victus 15,5.0,8,15.6,512,6,2050.0,4.7,9,HP Victus 15 Gaming Laptop AMD Ryzen 5 7535HS / 8GB DDR5 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 2050 4GB Graphics / 15.6″ FHD 144Hz Display / Windows 11 Home,https://www.daraz.com.np/products/hp-victus-15-gaming-laptop-amd-ryzen-5-7535hs-8gb-ddr5-ram-512gb-nvme-ssd-nvidia-geforce-rtx-2050-4gb-graphics-156-fhd-144hz-display-windows-11-home-i128739472-s1036911476.html?search=1,,
d89205c7ae,54999,dell,Vostro 3520,3.0,16,15.6,512,6,,4.7,6,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop",https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-display-laptop-i129017788-s1037011250.html?search=1,https://static-01.daraz.com.np/p/7cbe0fe6b4ddc40fdb753bdba2f29980.jpg_750x750.jpg_.webp,
012a16c221,143900,acer,Nitro V,5.0,16,15.6,512,8,4050.0,4.0,1,"Acer Nitro V i5 13th Gen 13420H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz | Win 11",https://www.daraz.com.np/products/acer-nitro-v-i5-13th-gen-13420h-16gb-ddr5-512gb-ssd-rtx-4050-6gb-156-fhd-144hz-win-11-i129858201-s1037711267.html?search=1,,
587405910d,108999,hp,Victus 15,5.0,16,15.6,512,8,3050.0,0.0,0,HP Victus 15 i5 13th Gen 16GB 512GB RTX 3050 15.6 144Hz Win 11,https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-16gb-512gb-rtx-3050-156-144hz-win-11-i128127277-s1035225039.html?search=1,https://static-01.daraz.com.np/p/27e9bfebfbe72deb4a1de822f15cd2c2.jpg_750x750.jpg_.webp,
217fab8a83,116499,acer,Nitro V,5.0,8,15.6,512,8,3050.0,0.0,0,"Acer Nitro V 15 Intel Core i5 13th Gen 13420H - 8GB DDR5 RAM - 512GB NVMe SSD - NVIDIA RTX 3050 6GB Graphics - 15.6"" FHD 144Hz Display - Backlit Keyboard",https://www.daraz.com.np/products/acer-nitro-v-15-intel-core-i5-13th-gen-13420h-8gb-ddr5-ram-512gb-nvme-ssd-nvidia-rtx-3050-6gb-graphics-156-fhd-144hz-display-backlit-keyboard-i128519019-s1036044368.html?search=1,https://static-01.daraz.com.np/p/b9e24920a8c5baf3f7c13edd30d3ae8e.jpg_750x750.jpg_.webp,
7f992eb8db,118000,acer,Nitro V,5.0,16,15.6,512,6,4050.0,0.0,0,"Acer Nitro V 15 2023 i5 13420H | RTX 4050 6GB | 16GB RAM | 512GB SSD | 15.6"" FHD 144Hz display | 1 Year Warranty",https://www.daraz.com.np/products/acer-nitro-v-15-2023-i5-13420h-rtx-4050-6gb-16gb-ram-512gb-ssd-156-fhd-144hz-display-1-year-warranty-i129836740-s1037684933.html?search=1,https://static-01.daraz.com.np/p/8805a213b8983b965192acd04bc6ef4f.jpg_750x750.jpg_.webp,
34741644ab,66399,lenovo,ideapad Slim,5.0,8,15.6,512,8,1500.0,4.3,8,Lenovo ideapad Slim 3 i5 13th Gen 8GB RAM 512ssd 15.6 Screen Laptop,https://www.daraz.com.np/products/lenovo-ideapad-slim-3-i5-13th-gen-8gb-ram-512ssd-156-screen-laptop-i128136700-s1035240055.html?search=1,https://static-01.daraz.com.np/p/23a76951e554affab36079925101c26f.jpg_750x750.jpg_.webp,
b34bc59185,39999,dell,Latitude E5470,5.0,8,14.0,256,2,,3.7,3,"Dell Latitude E5470 I5-6th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen",https://www.daraz.com.np/products/dell-latitude-e5470-i5-6th-gen-8-gb-ram-256-gb-ssd-14-screen-i123538890-s1037331736.html?search=1,https://static-01.daraz.com.np/p/9fef5009a1635406d5da3dda9bea815c.jpg_750x750.jpg_.webp,
9ee7a34d77,49990,lenovo,Ideapad Slim,3.0,8,15.6,256,4,1500.0,4.5,6,"Lenovo Ideapad Slim 3 i3 13th Gen 8GB RAM 256GB ssd 15.6"" FHD Laptop",https://www.daraz.com.np/products/lenovo-ideapad-slim-3-i3-13th-gen-8gb-ram-256gb-ssd-156-fhd-laptop-i128202161-s1035310879.html?search=1,https://static-01.daraz.com.np/p/9d08ddbdab5396d26b3aa0f48db4a0aa.jpg_750x750.jpg_.webp,
ab3627d1f9,99999,mi,Notebook Pro,5.0,16,14.0,512,2,,5.0,5,Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop,https://www.daraz.com.np/products/mi-notebook-pro-intel-core-i5-11th-gen16gb512gb-ssdiris-xe-graphics-14-inch-laptop-i113998214-s1030999621.html?search=1,https://static-01.daraz.com.np/p/0f97fcf14b959699c9dc4b6c9cb084a7.jpg_750x750.jpg_.webp,
0f245a3661,53990,acer,Aspire 5,3.0,8,15.6,1024,2,,4.0,7,"Acer Aspire 5 / Core i3 11th Gen / 8GB RAM / 128GB SSD / 1TB HDD / 15.6"" FHD / WIN10 Genuine Laptop",https://www.daraz.com.np/products/acer-aspire-5-core-i3-11th-gen-8gb-ram-128gb-ssd-1tb-hdd-156-fhd-win10-genuine-laptop-i113601038-s1030884979.html?search=1,https://static-01.daraz.com.np/p/acb6a6dcf56dedeb14a23acaf1860746.jpg_750x750.jpg_.webp,
c87feaa0c3,36000,dell,Celeron 5470,2.0,8,14.0,256,4,1500.0,5.0,2,Dell Celeron 5470 Intel UHD 8/256GB SSD,https://www.daraz.com.np/products/dell-celeron-5470-intel-uhd-8256gb-ssd-i129342925-s1037366468.html?search=1,https://static-01.daraz.com.np/p/fa5b57b3dae5295175b480d1623854d4.jpg_750x750.jpg_.webp,
0c37e930fd,95500,acer,Aspire 5,3.0,8,15.6,256,6,,5.0,2,"Acer Aspire 5 i3 11Th Gen 8GB Ram 256gb Ssd 15.6"" Fhd Display",https://www.daraz.com.np/products/acer-aspire-5-i3-11th-gen-8gb-ram-256gb-ssd-156-fhd-display-i128487184-s1037182475.html?search=1,,
ca07d42844,59999,dell,Vostro 3520,5.0,8,15.6,256,10,,5.0,3,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black",https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-256gb-ssd-156-120hz-fhd-black-i128524301-s1036048549.html?search=1,https://static-01.daraz.com.np/p/be5ecea293e22b1679b2f5b5265b7d0f.jpg_750x750.jpg_.webp,
0f6b524dbd,155000,apple,MacBook Air,7.0,8,13.6,256,8,2800.0,4.8,18,"Apple MacBook Air 13.6"" M2/8C CPU/8C GPU/8GB/256GB - EvoStore",https://www.daraz.com.np/products/apple-macbook-air-136-m28c-cpu8c-gpu8gb256gb-evostore-i117770489-s1032286854.html?search=1,https://static-01.daraz.com.np/p/8f43d820357edc483569d12a49b4bb47.jpg_750x750.jpg_.webp,
c42cd86d26,205000,asus,Zephyrus G15,9.0,16,15.6,1024,8,3050.0,4.3,3,"ASUS Zephyrus G15 GA503QE / Ryzen 9 5900HS / RTX 3050ti 4GB / 16GB RAM / 1TB SSD / 15.6"" FHD 144hz",https://www.daraz.com.np/products/asus-zephyrus-g15-ga503qe-ryzen-9-5900hs-rtx-3050ti-4gb-16gb-ram-1tb-ssd-156-fhd-144hz-i111810761-s1034302903.html?search=1,https://static-01.daraz.com.np/p/7adaa64bd060ca1ba74ed6edb892341b.png_750x750.jpg_.webp,
05dbfdfc5f,77000,asus,VivoBook I512th,5.0,16,14.0,512,10,,5.0,3,"Asus VivoBook I512th Gen 16GB/512GB/14""inch display/Numpad/Windows 11",https://www.daraz.com.np/products/asus-vivobook-i512th-gen-16gb512gb14inch-displaynumpadwindows-11-i129371256-s1037373549.html?search=1,https://static-01.daraz.com.np/p/9d3643ffb05ce6ee3a13e55d434595ba.jpg_750x750.jpg_.webp,
f45145790e,65000,dell,Latitude E7390,5.0,8,13.3,256,2,2800.0,4.5,2,Dell Latitude E7390 Laptop I5-8th Gen 256 GB SSD 8 GB RAM Ultrabook,https://www.daraz.com.np/products/dell-latitude-e7390-laptop-i5-8th-gen-256-gb-ssd-8-gb-ram-ultrabook-i129075425-s1037338431.html?search=1,https://static-01.daraz.com.np/p/043e0665683e8c2589576c5eb3bed822.jpg_750x750.jpg_.webp,
af422d4d01,38500,avita,Magus Cosmos,2.0,4,11.6,64,2,,4.8,4,AVITA Magus Cosmos 2in1 NS12T5IN025P/ N4000,https://www.daraz.com.np/products/avita-magus-cosmos-2in1-ns12t5in025p-n4000-i108930357-s1029438113.html?search=1,https://laz-img-cdn.alicdn.com/tfs/TB13MLwbOLaK1RjSZFxXXamPFXa-300-200.png,
a67afa6ad0,54999,asus,Vivobook Go,3.0,8,15.6,256,8,2800.0,4.0,1,"Asus Vivobook Go E1504 Intel Core i3 N305 Thin and Light Laptop - 8GB DDR4 RAM - 256GB NVMe SSD - 15.6"" FHD Display - Silver",https://www.daraz.com.np/products/asus-vivobook-go-e1504-intel-core-i3-n305-thin-and-light-laptop-8gb-ddr4-ram-256gb-nvme-ssd-156-fhd-display-silver-i129110758-s1037126709.html?search=1,https://static-01.daraz.com.np/p/c7bff2a5e13eb461a773386ff9884ba4.jpg_750x750.jpg_.webp,
f1e135a3f7,45000,dell,Latitude E5300,5.0,8,13.3,256,2,,4.3,3,Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3″ Ultrabook,https://www.daraz.com.np/products/dell-latitude-e5300-i5-8th-gen-8gb-256-ssd-133-ultrabook-i128496077-s1037571755.html?search=1,https://static-01.daraz.com.np/p/02e20682c9489ceadb7a4f3bf8f1f2a8.jpg_750x750.jpg_.webp,
c3940f96bd,40000,dell,5470 Intel,2.0,8,14.0,256,4,1500.0,5.0,3,"Dell 5470 Intel Celeron, 8GB RAM 256GB SSD, 14"" FHD DISPLAY, BACKLIT KEYBOARD, BLACK",https://www.daraz.com.np/products/dell-5470-intel-celeron-8gb-ram-256gb-ssd-14-fhd-display-backlit-keyboard-black-i125304194-s1034012371.html?search=1,,
a47ad9dbea,93990,asus,ZENBOOK 14X,5.0,8,14.0,512,12,2800.0,4.0,1,ASUS ZENBOOK 14X OLED Q410VA Core i5 -13500H / 8 GB DDR5 RAM/ 512GB SSD/ 14.5″ OLED Touch Screen / Backlit Keyboard/ Win 11,https://www.daraz.com.np/products/asus-zenbook-14x-oled-q410va-core-i5-13500h-8-gb-ddr5-ram-512gb-ssd-145-oled-touch-screen-backlit-keyboard-win-11-i129862218-s1037709151.html?search=1,https://static-01.daraz.com.np/p/8830e5618d4f775d30e37204d0f1b0ff.png_750x750.jpg_.webp,
e8ef92950f,98990,hp,Victus 15,5.0,16,15.6,512,6,2050.0,3.5,2,"HP Victus 15 Ryzen 5 7535HS /16 GB DDR5 RAM/ 512 GB NVME SSD/15.6"" 144Hrz Display / 4GB RTX 2050 DDR6 Graphics/Backlit Keyboard/ Win 11",https://www.daraz.com.np/products/hp-victus-15-ryzen-5-7535hs-16-gb-ddr5-ram-512-gb-nvme-ssd156-144hrz-display-4gb-rtx-2050-ddr6-graphicsbacklit-keyboard-win-11-i128639926-s1036378226.html?search=1,,
c6a79de2b4,85000,asus,ZenBook 14,5.0,8,14.0,256,6,,4.7,3,"Asus ZenBook 14 Q407IQ Laptop / Ryzen 5 4500U / MX350 / 8GB RAM / 256GB SSD / 14"" FHD display",https://www.daraz.com.np/products/asus-zenbook-14-q407iq-laptop-ryzen-5-4500u-mx350-8gb-ram-256gb-ssd-14-fhd-display-i125215411-s1033995702.html?search=1,https://static-01.daraz.com.np/p/eba2de6bb101e70fa552dd005c351edb.jpg_750x750.jpg_.webp,
7e86fa182f,71990,lenovo,IP Slim,5.0,8,15.6,512,8,1500.0,4.5,2,"Lenovo IP Slim 3 Core i5 13th Gen 13420H/ 8GB DDR 5 RAM/512 GB SSD/15.6"" FHD/Win 11",https://www.daraz.com.np/products/lenovo-ip-slim-3-core-i5-13th-gen-13420h-8gb-ddr-5-ram512-gb-ssd156-fhdwin-11-i128225520-s1035363831.html?search=1,https://static-01.daraz.com.np/p/9f016379338d6f5f5414d329a6249198.jpg_750x750.jpg_.webp,
b8176c58ab,33999,lenovo,V14 Celeron,2.0,4,14.0,256,2,,0.0,0,"Lenovo V14 Celeron | 4GB RAM | 256GB SSD | 14"" HD Display Laptop",https://www.daraz.com.np/products/lenovo-v14-celeron-4gb-ram-256gb-ssd-14-hd-display-laptop-i129028582-s1037039112.html?search=1,https://static-01.daraz.com.np/p/96d0f101cafc5f42cd727380b2c2a681.jpg_750x750.jpg_.webp,
2f2d30a2b8,61500,dell,Vostro 3520,5.0,8,15.6,512,10,,4.0,1,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-512gb-ssd-156-120hz-fhd-black-i128524305-s1036053292.html?search=1,,
0f59a2a896,52500,dell,Inspiron 15,3.0,8,15.6,512,6,1500.0,4.0,2,Dell Inspiron 15 3520 - i3 1215U | 8GB | 512GB SSD | Intel UHD | FHD | UBT | 2 Years Warranty,https://www.daraz.com.np/products/dell-inspiron-15-3520-i3-1215u-8gb-512gb-ssd-intel-uhd-fhd-ubt-2-years-warranty-i128175073-s1039743476.html?search=1,https://static-01.daraz.com.np/p/153d989561548e1a4b0741b7b711ee8c.jpg_750x750.jpg_.webp,
4e68293e5a,81990,acer,Swift 3,7.0,8,14.0,512,8,,5.0,3,"Acer Swift 3 Laptop /Ryzen 7 5700U/8GB/512 GB/14"" FHD/Backlit Keyboard/Win 10",https://www.daraz.com.np/products/acer-swift-3-laptop-ryzen-7-5700u8gb512-gb14-fhdbacklit-keyboardwin-10-i110946950-s1030070955.html?search=1,https://static-01.daraz.com.np/p/512e4be435597690ff602dc1936de2b9.jpg_750x750.jpg_.webp,
73a4f334a1,46990,dell,Vostro 3520,3.0,8,15.6,512,6,,5.0,2,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop",https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram-512gb-ssd-156-fhd-120hz-display-laptop-i128509518-s1036030849.html?search=1,,
54e23d4745,63499,dell,Vostro 3520,5.0,8,15.6,256,10,2800.0,5.0,1,Dell Vostro 3520 Intel Core i5 12th Generation – 8GB DDR4 RAM – 256GB SSD Storage – Intel UHD Graphics – 15.6″ FHD Display – Black,https://www.daraz.com.np/products/dell-vostro-3520-intel-core-i5-12th-generation-8gb-ddr4-ram-256gb-ssd-storage-intel-uhd-graphics-156-fhd-display-black-i129095265-s1037093781.html?search=1,,
6ebf92e0ff,47400,chuwi,GemiBook X,2.0,8,15.6,256,4,2800.0,4.5,2,"CHUWI GemiBook X Laptop丨15.6"" IPS Display Intel 11th Gen. Celeron N5100 CPU Upto 2.8GHz丨8G DDR4丨256GB SSD Windows 11 + Free Gift",https://www.daraz.com.np/products/chuwi-gemibook-x-laptop156-ips-display-intel-11th-gen-celeron-n5100-cpu-upto-28ghz8g-ddr4256gb-ssd-windows-11-free-gift-i118254598-s1032410324.html?search=1,https://static-01.daraz.com.np/p/ea88a63098a45fba3c0e06af330e9c9f.jpg_750x750.jpg_.webp,
08adb7f9eb,143900,dell,G5 15,5.0,8,15.6,256,6,3050.0,5.0,1,"Dell G5 15 5511 / i5-11400H / 8GB / 256 SSD / NVIDIA RTX 3050-4GB GDDR6 / 15.6"" FHD",https://www.daraz.com.np/products/dell-g5-15-5511-i5-11400h-8gb-256-ssd-nvidia-rtx-3050-4gb-gddr6-156-fhd-i112764063-s1030550046.html?search=1,https://static-01.daraz.com.np/p/69a7b1ed48d139cd580248dde4ee6458.jpg_750x750.jpg_.webp,
d02745d817,59999,dell,Vostro 15,5.0,8,15.6,256,6,,5.0,1,"Dell Vostro 15 3520 (Intel Core i5 - 1235U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics Card | 15.6"" FHD Display)",https://www.daraz.com.np/products/dell-vostro-15-3520-intel-core-i5-1235u-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-card-156-fhd-display-i129990928-s1037879291.html?search=1,https://static-01.daraz.com.np/p/f943584858fb7831a3860a58ed091d4d.png_750x750.jpg_.webp,
a17459b25e,54899,acer,Aspire 3,3.0,8,14.0,512,4,1500.0,5.0,1,Acer Aspire 3 AL14-31P Ultraslimbook i3-N305-8GB RAM-512GB SS-14FHD-Sliver Color,https://www.daraz.com.np/products/acer-aspire-3-al14-31p-ultraslimbook-i3-n305-8gb-ram-512gb-ss-14fhd-sliver-color-i129691037-s1037561198.html?search=1,https://static-01.daraz.com.np/p/40bd7d4f673d7fd870bf4167e4bec9ca.jpg_750x750.jpg_.webp,
9176c1a491,76999,lenovo,IdeaPad Flex,3.0,4,14.0,128,4,2000.0,5.0,1,"Lenovo IdeaPad Flex 5 14ARE05 2-in-1 / Ryzen 3 4300U / 4GB RAM / 128GB SSD / 14"" FHD 360 TouchScreen Display",https://www.daraz.com.np/products/lenovo-ideapad-flex-5-14are05-2-in-1-ryzen-3-4300u-4gb-ram-128gb-ssd-14-fhd-360-touchscreen-display-i107605596-s1028925349.html?search=1,,
e68362eea4,51998,dell,Inspiron 3511,3.0,8,15.6,256,2,1500.0,5.0,1,"Dell Inspiron 3511 i3 1115G4/8gb RAM/256gb SSD/15.6"" FHD/Windows 11 Home/11th Gen Laptop",https://www.daraz.com.np/products/dell-inspiron-3511-i3-1115g48gb-ram256gb-ssd156-fhdwindows-11-home11th-gen-laptop-i128645315-s1036335660.html?search=1,https://static-01.daraz.com.np/p/53f82f2b43eebc4ce78ebb586429d572.jpg_750x750.jpg_.webp,
37484d10c5,52990,lenovo,IP 3,3.0,8,15.6,256,6,1500.0,3.0,1,"Lenovo IP 3 Slim 3 Core i3 13th Gen/8 GB DDR5 RAM/256 GB SSD/15.6"" FHD/ Win 11",https://www.daraz.com.np/products/lenovo-ip-3-slim-3-core-i3-13th-gen8-gb-ddr5-ram256-gb-ssd156-fhd-win-11-i128273615-s1035515800.html?search=1,https://static-01.daraz.com.np/p/963b402742adcf536aaa5dc22007d65f.jpg_750x750.jpg_.webp,
b94ee33971,69444,asus,Vivobook Go,3.0,8,14.0,256,8,1500.0,5.0,1,"ASUS Vivobook Go E1404GA - (Intel i3 13th Gen N305, 14"" FHD Display, 8GB RAM, 256GB SSD, Fingerprint, Bagpack, Mouse Win11, 2 Yrs Int'l Warranty)",https://www.daraz.com.np/products/asus-vivobook-go-e1404ga-intel-i3-13th-gen-n305-14-fhd-display-8gb-ram-256gb-ssd-fingerprint-bagpack-mouse-win11-2-yrs-intl-warranty-i128604258-s1036226068.html?search=1,https://static-01.daraz.com.np/p/4b94dacb44dfe3fe9b6415e0bb7c0ed3.jpg_750x750.jpg_.webp,
f6758eef3e,73999,acer,Travelmate P2,5.0,8,14.0,512,6,1500.0,5.0,2,Acer Travelmate P2 i5 12th Gen 1235U – 8GB DDR4 RAM – 512GB SSD – 14″ FHD Display – Intel UHD Graphics - Backlit Keyboard,https://www.daraz.com.np/products/acer-travelmate-p2-i5-12th-gen-1235u-8gb-ddr4-ram-512gb-ssd-14-fhd-display-intel-uhd-graphics-backlit-keyboard-i127871739-s1034862265.html?search=1,https://static-01.daraz.com.np/p/48fbe21464c3784f61af121236a1aef1.jpg_750x750.jpg_.webp,
d4bb88ab23,51998,lenovo,IdeaPad Slim,3.0,8,14.0,256,4,1500.0,3.0,2,"Lenovo IdeaPad Slim 3i 2023 15 i3 13Th Gen / 8GB RAM / 256GB / 15.6"" FHD display",https://www.daraz.com.np/products/lenovo-ideapad-slim-3i-2023-15-i3-13th-gen-8gb-ram-256gb-156-fhd-display-i128155035-s1035244616.html?search=1,https://static-01.daraz.com.np/p/fb998e67a12f9484b9261c29250279a4.jpg_750x750.jpg_.webp,
