Filename,Url
e6d97e72bd.csv,https://www.daraz.com.np/products/oukitel-c22-smartphone-i115669967-s1034140226.html?search=1
730f6cb01b.csv,https://www.daraz.com.np/products/realme-11-5g-8256gb-108mp-primary-camera-5000mah-battery-67w-supervooc-charge-120hz-refresh-rate-i128241318-s1035447394.html?search=1
ce88c47fef.csv,https://www.daraz.com.np/products/oppo-a38-4gb128gb-656-hd-display-50mp2mp-rear-camera-5000mah-battery-l-33w-wired-charger-i128435617-s1035923069.html?search=1
bca6fed917.csv,https://www.daraz.com.np/products/vivo-y27s-8256-44-watts-fast-charge-i129182550-s1037201960.html?search=1
157a2b314d.csv,https://www.daraz.com.np/products/inoi-7-smartphone-464gb-2021-i127602404-s1034599382.html?search=1
4c507fbd46.csv,https://www.daraz.com.np/products/samsung-galaxy-a25-5g-8gb256gb-65-superamoled-120hz-display-exynos-1280-processor-50mp8mp2mp-rear-camera-5000mah-battery-i129299837-s1037320766.html?search=1
534d38fb7d.csv,https://www.daraz.com.np/products/honor-x8a-extra-elegance-extra-power-100mp-ultra-camera-67-honor-edgeless-display-i129976108-s1037836499.html?search=1
727a2569ae.csv,https://www.daraz.com.np/products/itel-vision-3-3gb-ram64gb-rom-5000mah-battery-18w-fast-charging-i124908738-s1033933090.html?search=1
a025135f38.csv,https://www.daraz.com.np/products/oneplus-nord-n20-se-4-gb-ram-128-gb-storage-656-lcd-display-5000-mah-battery-i129267257-s1037286413.html?search=1
376edcd186.csv,https://www.daraz.com.np/products/pop-6-tecno-i-5000mah-large-battery-i125454706-s1034041461.html?search=1
4c9775d1fb.csv,https://www.daraz.com.np/products/realme-c30-232gb-332gb-464gb-65-inches-ips-lcd-5000mah-i128263834-s1035523996.html?search=1
4d7f67840d.csv,https://www.daraz.com.np/products/samsung-galaxy-a25-5g-8256gb-65-superamoled-120hz-display-50mp8mp2mp-rear-camera-5000mah-battery-i129161705-s1037182384.html?search=1
fc8872ef78.csv,https://www.daraz.com.np/products/samsung-galaxy-a23-6128gb-i127944300-s1034961946.html?search=1
b48613618e.csv,https://www.daraz.com.np/products/samsung-galaxy-f13-i-ram-4gb-rom-128gb-i-fhd-display-6000-mah-battery-auto-data-switching-i116711667-s1031971203.html?search=1
bd00a02cb3.csv,https://www.daraz.com.np/products/samsung-galaxy-a03s-mobile-3gb-ram-32gb-rom-i110375632-s1030187836.html?search=1
434b88151e.csv,https://www.daraz.com.np/products/oneplus-nord-ce-2-5g-8gb128gb-dimensity-900-5g-64mp-camera-optical-under-display-fingerprint-i119515351-s1032715107.html?search=1
eaaaaee29a.csv,https://www.daraz.com.np/products/phantom-x-tecno-i-8gb256gb-memory-i-50mp-ultra-night-camera-i125455045-s1034043012.html?search=1
9f16b4271f.csv,https://www.daraz.com.np/products/samsung-a04s-4128-i120874812-s1033548651.html?search=1
